Transaction_id,DateTime,Campaign_name ,Subject_line ,Status,Source,HCP_ID
A102,26/08/25 22:20,ABC drug launch,Why choose ABC?,Click,internal,1023057429
A104,27/08/25 9:44,ABC drug launch,Why choose ABC?,Click,internal,1023281517
A106,25/08/25 13:10,ABC med awareness,Latest research on ABC,Click,internal,1023856853
A108,25/08/25 8:59,ABC drug launch,Why choose ABC?,Click,internal,1023073716
A110,27/08/25 19:16,ABC med awareness,Latest research on ABC,Click,internal,1023266838
A112,25/08/25 22:15,ABC drug launch,Why choose ABC?,Click,internal,1023385872
A114,26/08/25 23:09,ABC med awareness,Latest research on ABC,Click,internal,1023264395
A116,27/08/25 6:29,ABC med awareness,Latest research on ABC,Click,internal,1023156800
A118,26/08/25 6:09,ABC med awareness,Latest research on ABC,Click,internal,1023669529
A120,25/08/25 5:32,ABC med awareness,Latest research on ABC,Click,internal,1023881017
A122,27/08/25 22:54,ABC drug launch,Why choose ABC?,Click,internal,1023703331
A124,27/08/25 1:54,ABC drug launch,Why choose ABC?,Click,internal,1023035504
A126,27/08/25 9:47,ABC med awareness,Latest research on ABC,Click,internal,1023661480
A128,25/08/25 17:29,ABC drug launch,Why choose ABC?,Click,internal,1023933336
A130,27/08/25 21:38,ABC drug launch,Why choose ABC?,Click,internal,1023927795
A132,27/08/25 14:22,ABC drug launch,Why choose ABC?,Click,internal,1023324522
A134,27/08/25 8:25,ABC drug launch,Why choose ABC?,Click,internal,1023231021
A136,27/08/25 22:02,ABC drug launch,Why choose ABC?,Click,internal,1023827429
A138,27/08/25 17:19,ABC drug launch,Why choose ABC?,Click,internal,1023435371
A140,26/08/25 3:31,ABC med awareness,Latest research on ABC,Click,internal,1023326799
A142,26/08/25 11:41,ABC drug launch,Why choose ABC?,Click,internal,1023628666
A144,27/08/25 22:50,ABC drug launch,Why choose ABC?,Click,internal,1023095327
A146,25/08/25 16:19,ABC drug launch,Why choose ABC?,Click,internal,1023931813
A148,27/08/25 6:49,ABC med awareness,Latest research on ABC,Click,internal,1023425886
A150,26/08/25 11:26,ABC med awareness,Latest research on ABC,Click,internal,1023442297
A152,27/08/25 16:52,ABC med awareness,Latest research on ABC,Click,internal,1023145357
A154,26/08/25 13:00,ABC drug launch,Why choose ABC?,Click,internal,1023943760
A156,27/08/25 21:47,ABC med awareness,Latest research on ABC,Click,internal,1023377679
A158,26/08/25 8:30,ABC drug launch,Why choose ABC?,Click,internal,1023885152
A160,26/08/25 17:31,ABC drug launch,Why choose ABC?,Click,internal,1023211009
A162,26/08/25 6:09,ABC med awareness,Latest research on ABC,Click,internal,1023587111
A164,25/08/25 9:00,ABC drug launch,Why choose ABC?,Click,internal,1023548084
A166,26/08/25 16:35,ABC drug launch,Why choose ABC?,Click,internal,1023704421
A168,27/08/25 0:29,ABC drug launch,Why choose ABC?,Click,internal,1023143570
A170,25/08/25 5:38,ABC drug launch,Why choose ABC?,Click,internal,1023241232
A172,26/08/25 22:53,ABC med awareness,Latest research on ABC,Click,internal,1023546329
A174,27/08/25 7:24,ABC med awareness,Latest research on ABC,Click,internal,1023913460
A176,27/08/25 22:06,ABC drug launch,Why choose ABC?,Click,internal,1023100277
A178,25/08/25 8:56,ABC med awareness,Latest research on ABC,Click,internal,1023806467
A180,25/08/25 11:33,ABC med awareness,Latest research on ABC,Click,internal,1023371595
A182,25/08/25 21:20,ABC med awareness,Latest research on ABC,Click,internal,1023265185
A184,26/08/25 9:03,ABC med awareness,Latest research on ABC,Click,internal,1023966696
A186,25/08/25 22:05,ABC med awareness,Latest research on ABC,Click,internal,1023092177
A188,25/08/25 23:15,ABC med awareness,Latest research on ABC,Click,internal,1023618132
A190,25/08/25 23:07,ABC med awareness,Latest research on ABC,Click,internal,1023101082
A192,26/08/25 8:32,ABC drug launch,Why choose ABC?,Click,internal,1023348413
A194,27/08/25 10:22,ABC drug launch,Why choose ABC?,Click,internal,1023433797
A196,26/08/25 18:16,ABC drug launch,Why choose ABC?,Click,internal,1023372569
A198,26/08/25 18:22,ABC med awareness,Latest research on ABC,Click,internal,1023431603
