Transaction_id,DateTime,Campaign_name ,Subject_line ,Status,Source,HCP_ID
A101,24/08/25 20:19,ABC drug launch,Why choose ABC?,Sent,internal,1023303038
A101,24/08/25 3:22,ABC med awareness,Latest research on ABC,Delivered,internal,1023303038
A102,24/08/25 22:10,ABC drug launch,Why choose ABC?,Sent,internal,1023057429
A102,24/08/25 9:58,ABC drug launch,Why choose ABC?,Delivered,internal,1023057429
A103,24/08/25 18:59,ABC med awareness,Latest research on ABC,Delivered,internal,1023193618
A103,24/08/25 7:38,ABC drug launch,Why choose ABC?,Sent,internal,1023193618
A104,24/08/25 9:34,ABC drug launch,Why choose ABC?,Delivered,internal,1023281517
A104,24/08/25 11:36,ABC med awareness,Latest research on ABC,Delivered,internal,1023281517
A105,24/08/25 14:06,ABC drug launch,Why choose ABC?,Delivered,internal,1023475268
A105,24/08/25 8:27,ABC med awareness,Latest research on ABC,Sent,internal,1023475268
A106,24/08/25 13:00,ABC med awareness,Latest research on ABC,Delivered,internal,1023856853
A106,24/08/25 6:26,ABC drug launch,Why choose ABC?,Delivered,internal,1023856853
A107,24/08/25 21:08,ABC med awareness,Latest research on ABC,Sent,internal,1023575098
A107,24/08/25 2:35,ABC med awareness,Latest research on ABC,Delivered,internal,1023575098
A108,24/08/25 8:29,ABC drug launch,Why choose ABC?,Delivered,internal,1023073716
A108,24/08/25 22:33,ABC drug launch,Why choose ABC?,Delivered,internal,1023073716
A109,24/08/25 4:30,ABC med awareness,Latest research on ABC,Sent,internal,1023748479
A109,24/08/25 11:54,ABC drug launch,Why choose ABC?,Sent,internal,1023748479
A110,24/08/25 18:46,ABC med awareness,Latest research on ABC,Sent,internal,1023266838
A110,24/08/25 6:39,ABC drug launch,Why choose ABC?,Delivered,internal,1023266838
A111,24/08/25 16:09,ABC med awareness,Latest research on ABC,Delivered,internal,1023131228
A111,24/08/25 12:36,ABC med awareness,Latest research on ABC,Delivered,internal,1023131228
A112,24/08/25 22:05,ABC drug launch,Why choose ABC?,Delivered,internal,1023385872
A112,24/08/25 20:51,ABC drug launch,Why choose ABC?,Delivered,internal,1023385872
A113,24/08/25 4:24,ABC drug launch,Why choose ABC?,Sent,internal,1023537504
A113,24/08/25 9:33,ABC med awareness,Latest research on ABC,Delivered,internal,1023537504
